Date : 2026-05-15 10:22:19
Directory : c:\Users\andre\projects\fra.ktu.red-component\src
Total : 75 files,  9414 codes, 22 comments, 654 blanks, all 10090 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         48 |      8,346 |          5 |        393 |      8,744 |
| GLSL           |         25 |        870 |         16 |        229 |      1,115 |
| TypeScript JSX |          2 |        198 |          1 |         32 |        231 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\anaglyph\anaglyph_shader.frag                         | GLSL           |         26 |          1 |          9 |         36 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\anaglyph\anaglyph_shader.ts                           | TypeScript     |         32 |          0 |          7 |         39 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\blur\blur_shader.frag                                 | GLSL           |         39 |          0 |          9 |         48 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\blur\blur_shader.ts                                   | TypeScript     |         41 |          0 |          7 |         48 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\bnw\bnw_shader.frag                                   | GLSL           |          9 |          1 |          3 |         13 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\bnw\bnw_shader.ts                                     | TypeScript     |         21 |          0 |          5 |         26 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\brightness_posterize\brightness_posterize_shader.frag | GLSL           |         29 |          0 |          9 |         38 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\brightness_posterize\brightness_posterize_shader.ts   | TypeScript     |         36 |          0 |          7 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\chroma\chroma_shader.frag                             | GLSL           |         27 |          1 |          4 |         32 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\chroma\chroma_shader.ts                               | TypeScript     |         50 |          0 |          7 |         57 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\crosses\crosses_shader.frag                           | GLSL           |         62 |          1 |         15 |         78 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\crosses\crosses_shader.ts                             | TypeScript     |         61 |          0 |          7 |         68 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\defaultFilter.vert                                    | GLSL           |         21 |          0 |          6 |         27 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hlines\hlines_shader.frag                             | GLSL           |         33 |          1 |          9 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hlines\hlines_shader.ts                               | TypeScript     |         36 |          0 |          7 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hnoise\hnoise_shader.frag                             | GLSL           |         54 |          1 |         13 |         68 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hnoise\hnoise_shader.ts                               | TypeScript     |         47 |          0 |          7 |         54 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hsb_blur\hsb_blur_shader.frag                         | GLSL           |         61 |          0 |         13 |         74 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hsb_blur\hsb_blur_shader.ts                           | TypeScript     |         57 |          0 |          7 |         64 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hue_offset\hue_offset_shader.frag                     | GLSL           |         25 |          0 |          8 |         33 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hue_offset\hue_offset_shader.ts                       | TypeScript     |         36 |          0 |          7 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hue_posterize\hue_posterize_shader.frag               | GLSL           |         31 |          0 |          9 |         40 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\hue_posterize\hue_posterize_shader.ts                 | TypeScript     |         40 |          0 |          7 |         47 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\light_split\light_split_shader.frag                   | GLSL           |         43 |          1 |         10 |         54 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\light_split\light_split_shader.ts                     | TypeScript     |         52 |          0 |          7 |         59 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\luma_key\luma_key_shader.frag                         | GLSL           |         26 |          1 |          8 |         35 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\luma_key\luma_key_shader.ts                           | TypeScript     |         45 |          0 |          8 |         53 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\mask_to\mask_to_shader.frag                           | GLSL           |         50 |          0 |         13 |         63 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\mask_to\mask_to_shader.ts                             | TypeScript     |        162 |          0 |         24 |        186 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\mask_to\mask_to_shader.vert                           | GLSL           |         28 |          0 |          8 |         36 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\montecarlo\montecarlo_shader.frag                     | GLSL           |         24 |          1 |          6 |         31 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\montecarlo\montecarlo_shader.ts                       | TypeScript     |         40 |          0 |          7 |         47 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\negative\negative_shader.frag                         | GLSL           |          9 |          1 |          3 |         13 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\negative\negative_shader.ts                           | TypeScript     |         21 |          0 |          5 |         26 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\palette_recolour\palette_recolour_shader.frag         | GLSL           |         71 |          1 |         14 |         86 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\palette_recolour\palette_recolour_shader.ts           | TypeScript     |        129 |          0 |          9 |        138 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\pixelate\pixelate_shader.frag                         | GLSL           |         35 |          0 |         15 |         50 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\pixelate\pixelate_shader.ts                           | TypeScript     |         32 |          0 |          7 |         39 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\posterize\posterize_shader.frag                       | GLSL           |         17 |          1 |          7 |         25 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\posterize\posterize_shader.ts                         | TypeScript     |         36 |          0 |          7 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\recolour\recolour_shader.frag                         | GLSL           |         56 |          1 |         11 |         68 |
